333.225	198.602	361.822	202.286
214.241	211.358	275.63	203.161
235.224	213.154	287.956	204.587
289.048	205.872	301.56	222.418
209.111	424.737	286.71	478.37
284.323	372.929	293.727	464.272
219.058	439.825	275.469	479.596
235.741	449.209	278.357	479.043
206.909	219.476	234.266	210.301
209.449	222.097	234.556	213.663
320.834	217.35	361.757	227.428
327.026	229.496	334.7	290.752
199.228	238.127	202.973	303.137
208.6	253.177	211.384	294.408
280.614	358.128	302.22	479.315
201.854	261.877	205.085	303.167
339.318	265.523	369.369	267.005
205.512	265.553	207.499	296.756
285.408	415.661	299.309	478.137
249.632	290.142	293.318	277.659
207.121	324.826	306.903	284.432
244.172	298.723	280.764	287.321
227.059	301.025	251.495	289.799
293.226	386.657	359.49	420.381
288.099	295.813	308.115	296.176
318.419	299.095	371.742	308.923
213.232	431.718	281.758	478.297
221.756	344.699	369.555	408.924
309.551	391.506	360.222	417.737
255.818	329.862	275.253	322.183
353.427	348.864	382.985	325.798
353.058	341.788	371.46	327.587
221.317	338.376	318.238	366.557
377.828	340.535	382.473	398.143
221.755	342.204	361.792	403.325
215.386	439.713	273.161	480.573
219.101	346.357	273.227	366.601
318.505	365.372	353.072	349.261
373.654	346.832	375.594	370.729
234.198	401.549	272.915	381.49
366.469	348.172	369.644	375.594
204.688	349.375	204.688	379.375
299.643	359.459	337.03	349.983
275.447	394.403	285.352	458.167
294.9	430.771	380.436	374.098
311.968	387.932	334.139	398.616
199.833	368.122	200.068	409.378
